Airport,UniqueCarrier,Airline,Status,Delay (in min),Flight Counts,Delay Counts,Average Delay (in min),Delay Frequency (%)
DEN,DL,Delta Airlines Inc.,Departure,19138,4084,1259,15.20095314,30.82761998
DEN,F9,Frontier Airlines Inc.,Departure,345442,47853,24280,14.22742998,50.73872067
DEN,FL,AirTran Airways Co.,Departure,5863,1415,442,13.26470588,31.23674912
DEN,NW,Northwest Airlines Inc.,Departure,17285,3568,904,19.12057522,25.33632287
DEN,OH,PSA Airlines Inc.,Departure,727,89,31,23.4516129,34.83146067
DEN,OO,SkyWest Airlines Inc.,Departure,269936,48690,15000,17.99573333,30.80714726
DEN,UA,United Airlines Inc.,Departure,1118246,73397,36404,30.71766839,49.59875744
DEN,US,US Airways Inc.,Departure,19610,3685,1250,15.688,33.92130258
DEN,WN,Southwest Airlines Co.,Departure,315067,28686,14511,21.71228723,50.58565154
DEN,XE,ExpressJet Airlines Inc.,Departure,8503,1127,451,18.85365854,40.01774623
DEN,YV,Mesa Airlines Inc.,Departure,92186,13450,3742,24.63548904,27.82156134
DFW,9E,Endeavor Air Inc.,Departure,7627,516,194,39.31443299,37.59689922
DFW,AA,American Airlines Inc.,Departure,2094471,160716,77958,26.86665897,48.5066826
DFW,AS,Alaska Airlines Inc.,Departure,7481,1083,383,19.53263708,35.36472761
DFW,CO,Continental Airlines Inc.,Departure,56741,3750,1238,45.83279483,33.01333333
DFW,DL,Delta Airlines Inc.,Departure,33875,3939,1397,24.24838941,35.46585428
DFW,EV,ExpressJet Airlines Inc.,Departure,106,24,4,26.5,16.66666667
DFW,F9,Frontier Airlines Inc.,Departure,8438,1985,722,11.68698061,36.37279597
DFW,FL,AirTran Airways Co.,Departure,25148,3149,1087,23.13523459,34.51889489
DFW,MQ,Envoy Air,Departure,884601,89169,39169,22.584212,43.92670098
DFW,NW,Northwest Airlines Inc.,Departure,4125,1796,366,11.2704918,20.37861915
DFW,OH,PSA Airlines Inc.,Departure,10850,1168,318,34.11949686,27.2260274
DFW,OO,SkyWest Airlines Inc.,Departure,20653,2346,910,22.6956044,38.78942882
DFW,UA,United Airlines Inc.,Departure,47089,3888,1435,32.81463415,36.90843621
DFW,US,US Airways Inc.,Departure,36448,5863,1971,18.49213597,33.61760191
DFW,XE,ExpressJet Airlines Inc.,Departure,14434,1835,581,24.84337349,31.66212534
DFW,YV,Mesa Airlines Inc.,Departure,701,54,16,43.8125,29.62962963
DTW,9E,Endeavor Air Inc.,Departure,405203,52040,15488,26.16238378,29.76172175
DTW,AA,American Airlines Inc.,Departure,30277,3846,1272,23.80267296,33.07332293
DTW,CO,Continental Airlines Inc.,Departure,23122,2056,673,34.35661218,32.73346304
DTW,DL,Delta Airlines Inc.,Departure,17992,1750,694,25.92507205,39.65714286
DTW,EV,ExpressJet Airlines Inc.,Departure,12687,832,403,31.48138958,48.4375
DTW,F9,Frontier Airlines Inc.,Departure,1816,1078,339,5.356932153,31.4471243
DTW,FL,AirTran Airways Co.,Departure,16265,2301,711,22.87623066,30.89960887
DTW,MQ,Envoy Air,Departure,40926,2629,1182,34.62436548,44.96006086
DTW,NW,Northwest Airlines Inc.,Departure,702507,77703,31323,22.42783258,40.3111849
DTW,OH,PSA Airlines Inc.,Departure,30571,2174,696,43.92385057,32.01471941
DTW,OO,SkyWest Airlines Inc.,Departure,9971,652,319,31.25705329,48.92638037
DTW,UA,United Airlines Inc.,Departure,28022,2074,805,34.80993789,38.81388621
DTW,US,US Airways Inc.,Departure,6528,2795,709,9.207334274,25.3667263
