Airport,UniqueCarrier,Airline,Status,Delay (in min),Flight Counts,Delay Counts,Average Delay (in min),Delay Frequency (%)
BOS,EV,ExpressJet Airlines Inc.,Arrival,-122,54,15,-8.133333333,27.77777778
BOS,FL,AirTran Airways Co.,Arrival,70200,7385,2900,24.20689655,39.26878808
BOS,MQ,Envoy Air,Arrival,94227,9998,4006,23.5214678,40.0680136
BOS,NW,Northwest Airlines Inc.,Arrival,50942,3946,2149,23.70497906,54.46021287
BOS,OH,PSA Airlines Inc.,Arrival,127716,11746,4935,25.87963526,42.01430274
BOS,UA,United Airlines Inc.,Arrival,113449,9366,4132,27.45619555,44.117019
BOS,US,US Airways Inc.,Arrival,11853,19674,6122,1.936131983,31.11721053
BOS,XE,ExpressJet Airlines Inc.,Arrival,6565,573,260,25.25,45.37521815
BOS,YV,Mesa Airlines Inc.,Arrival,16644,526,271,61.41697417,51.52091255
BWI,9E,Endeavor Air Inc.,Arrival,85,570,172,0.494186047,30.1754386
BWI,AA,American Airlines Inc.,Arrival,31482,3108,1427,22.06166783,45.91377091
BWI,CO,Continental Airlines Inc.,Arrival,9144,1987,747,12.24096386,37.59436336
BWI,DL,Delta Airlines Inc.,Arrival,30945,4088,1960,15.78826531,47.94520548
BWI,EV,ExpressJet Airlines Inc.,Arrival,165,61,18,9.166666667,29.50819672
BWI,FL,AirTran Airways Co.,Arrival,130571,15764,6640,19.66430723,42.12128901
BWI,MQ,Envoy Air,Arrival,21066,1716,814,25.87960688,47.43589744
BWI,NW,Northwest Airlines Inc.,Arrival,30426,3062,1634,18.62056304,53.3638145
BWI,OH,PSA Airlines Inc.,Arrival,25363,3818,1603,15.82220836,41.98533263
BWI,OO,SkyWest Airlines Inc.,Arrival,4247,698,298,14.25167785,42.69340974
BWI,UA,United Airlines Inc.,Arrival,57270,4803,2215,25.85553047,46.1170102
BWI,US,US Airways Inc.,Arrival,16423,4442,1717,9.564938847,38.65375957
BWI,WN,Southwest Airlines Co.,Arrival,262618,58174,20931,12.54684439,35.97999106
BWI,XE,ExpressJet Airlines Inc.,Arrival,13788,1456,613,22.49265905,42.10164835
BWI,YV,Mesa Airlines Inc.,Arrival,1881,321,149,12.62416107,46.41744548
CLT,9E,Endeavor Air Inc.,Arrival,7683,1199,473,16.24312896,39.44954128
CLT,AA,American Airlines Inc.,Arrival,14106,1875,769,18.34330299,41.01333333
CLT,B6,JetBlue Airways,Arrival,22644,1968,904,25.04867257,45.93495935
CLT,CO,Continental Airlines Inc.,Arrival,4923,213,136,36.19852941,63.84976526
CLT,DL,Delta Airlines Inc.,Arrival,24660,2893,1501,16.4290473,51.88385759
CLT,EV,ExpressJet Airlines Inc.,Arrival,7721,374,247,31.25910931,66.04278075
CLT,FL,AirTran Airways Co.,Arrival,35070,2576,1447,24.23635107,56.17236025
CLT,MQ,Envoy Air,Arrival,42769,4049,1915,22.33368146,47.29562855
CLT,NW,Northwest Airlines Inc.,Arrival,21254,2268,1241,17.12651088,54.71781305
CLT,OH,PSA Airlines Inc.,Arrival,26925,1650,1017,26.47492625,61.63636364
CLT,OO,SkyWest Airlines Inc.,Arrival,1160,179,68,17.05882353,37.98882682
CLT,UA,United Airlines Inc.,Arrival,14981,1623,699,21.43204578,43.06839187
CLT,US,US Airways Inc.,Arrival,61447,78113,27423,2.240710353,35.10683241
CLT,XE,ExpressJet Airlines Inc.,Arrival,79030,5510,2804,28.18473609,50.8892922
CLT,YV,Mesa Airlines Inc.,Arrival,221584,21540,10051,22.04596558,46.66202414
DEN,9E,Endeavor Air Inc.,Arrival,6667,720,356,18.72752809,49.44444444
DEN,AA,American Airlines Inc.,Arrival,92019,7465,3969,23.18442933,53.16811788
DEN,AS,Alaska Airlines Inc.,Arrival,7459,2221,909,8.205720572,40.92751013
DEN,B6,JetBlue Airways,Arrival,11802,1094,532,22.18421053,48.62888483
DEN,CO,Continental Airlines Inc.,Arrival,41352,3903,2133,19.38677918,54.65026902
DEN,DL,Delta Airlines Inc.,Arrival,33005,4078,2088,15.80699234,51.2015694
DEN,F9,Frontier Airlines Inc.,Arrival,226449,47871,21268,10.64740455,44.42773287
DEN,FL,AirTran Airways Co.,Arrival,14067,1414,812,17.32389163,57.42574257
DEN,NW,Northwest Airlines Inc.,Arrival,37090,3566,1992,18.61947791,55.86090858
DEN,OH,PSA Airlines Inc.,Arrival,1234,89,61,20.2295082,68.53932584
DEN,OO,SkyWest Airlines Inc.,Arrival,228957,48779,19166,11.94599812,39.29149839
DEN,UA,United Airlines Inc.,Arrival,616115,73318,32099,19.19421166,43.78051774
DEN,US,US Airways Inc.,Arrival,16754,3683,1582,10.59039191,42.95411349
DEN,WN,Southwest Airlines Co.,Arrival,83842,28688,10678,7.851844915,37.22113776
DEN,XE,ExpressJet Airlines Inc.,Arrival,8819,1131,599,14.72287145,52.96198055
DEN,YV,Mesa Airlines Inc.,Arrival,50930,13450,4437,11.47847645,32.98884758
DFW,9E,Endeavor Air Inc.,Arrival,6134,517,242,25.34710744,46.80851064
DFW,AA,American Airlines Inc.,Arrival,1234981,160759,70524,17.51149963,43.86939456
DFW,AS,Alaska Airlines Inc.,Arrival,2394,1085,432,5.541666667,39.8156682
DFW,CO,Continental Airlines Inc.,Arrival,50086,3752,1840,27.22065217,49.04051173
DFW,DL,Delta Airlines Inc.,Arrival,36708,3939,2091,17.55523673,53.08453922
DFW,EV,ExpressJet Airlines Inc.,Arrival,-17,24,9,-1.888888889,37.5
DFW,F9,Frontier Airlines Inc.,Arrival,8499,1985,867,9.802768166,43.67758186
DFW,FL,AirTran Airways Co.,Arrival,37307,3150,1614,23.11462206,51.23809524
DFW,MQ,Envoy Air,Arrival,615936,89242,34229,17.99456601,38.35525873
DFW,NW,Northwest Airlines Inc.,Arrival,13946,1796,928,15.02801724,51.67037862
DFW,OH,PSA Airlines Inc.,Arrival,17042,1169,715,23.83496503,61.16338751
DFW,OO,SkyWest Airlines Inc.,Arrival,15176,2349,1106,13.72151899,47.08386547
DFW,UA,United Airlines Inc.,Arrival,53389,3884,1882,28.36822529,48.45520082
DFW,US,US Airways Inc.,Arrival,16213,5861,2333,6.949421346,39.80549394
DFW,XE,ExpressJet Airlines Inc.,Arrival,19776,1835,980,20.17959184,53.40599455
DFW,YV,Mesa Airlines Inc.,Arrival,458,54,25,18.32,46.2962963
DTW,9E,Endeavor Air Inc.,Arrival,130950,52033,16059,8.154305997,30.86310611
DTW,AA,American Airlines Inc.,Arrival,49888,3840,1928,25.87551867,50.20833333
DTW,CO,Continental Airlines Inc.,Arrival,14056,2055,926,15.17926566,45.06082725
DTW,DL,Delta Airlines Inc.,Arrival,13942,1749,861,16.19279907,49.22813036
DTW,EV,ExpressJet Airlines Inc.,Arrival,7355,832,394,18.66751269,47.35576923
DTW,F9,Frontier Airlines Inc.,Arrival,7585,1078,582,13.03264605,53.98886827
DTW,FL,AirTran Airways Co.,Arrival,19086,2300,1065,17.92112676,46.30434783
DTW,MQ,Envoy Air,Arrival,25173,2630,1229,20.4825061,46.73003802
DTW,NW,Northwest Airlines Inc.,Arrival,290354,77727,28756,10.09716233,36.9961532
DTW,OH,PSA Airlines Inc.,Arrival,29558,2172,1082,27.31792976,49.81583794
DTW,OO,SkyWest Airlines Inc.,Arrival,9787,654,346,28.28612717,52.90519878
DTW,UA,United Airlines Inc.,Arrival,28790,2075,975,29.52820513,46.98795181
DTW,US,US Airways Inc.,Arrival,1118,2796,999,1.119119119,35.72961373
DTW,WN,Southwest Airlines Co.,Arrival,51581,6593,2847,18.11766772,43.1821629
DTW,XE,ExpressJet Airlines Inc.,Arrival,41778,2076,1184,35.28547297,57.0327553
DTW,YV,Mesa Airlines Inc.,Arrival,27744,1390,773,35.89133247,55.61151079
EWR,9E,Endeavor Air Inc.,Arrival,3473,99,64,54.265625,64.64646465
EWR,AA,American Airlines Inc.,Arrival,123726,5990,3109,39.79607591,51.90317195
EWR,AS,Alaska Airlines Inc.,Arrival,9210,731,338,27.24852071,46.2380301
EWR,B6,JetBlue Airways,Arrival,117276,4211,2213,52.99412562,52.55283781
EWR,CO,Continental Airlines Inc.,Arrival,925620,55588,27578,33.5637102,49.61142693
EWR,DL,Delta Airlines Inc.,Arrival,64766,3767,1963,32.99337748,52.11043271
EWR,EV,ExpressJet Airlines Inc.,Arrival,12860,340,221,58.19004525,65
EWR,FL,AirTran Airways Co.,Arrival,38081,1886,936,40.68482906,49.62884411
EWR,MQ,Envoy Air,Arrival,6194,920,344,18.00581395,37.39130435
EWR,NW,Northwest Airlines Inc.,Arrival,77800,3516,2096,37.11832061,59.61319681
EWR,OH,PSA Airlines Inc.,Arrival,39606,1535,931,42.54135338,60.6514658
EWR,OO,SkyWest Airlines Inc.,Arrival,42369,1276,733,57.80218281,57.44514107
EWR,UA,United Airlines Inc.,Arrival,113013,4866,2478,45.60653753,50.92478422
EWR,US,US Airways Inc.,Arrival,55146,3580,1683,32.76648841,47.01117318
EWR,XE,ExpressJet Airlines Inc.,Arrival,1127562,49137,23616,47.74568089,48.06154222
EWR,YV,Mesa Airlines Inc.,Arrival,25732,1049,593,43.39291737,56.5300286
IAH,9E,Endeavor Air Inc.,Arrival,5235,1461,556,9.415467626,38.05612594
IAH,AA,American Airlines Inc.,Arrival,56372,4322,2128,26.4906015,49.2364646
IAH,CO,Continental Airlines Inc.,Arrival,603167,85641,36677,16.44537449,42.82644995
IAH,DL,Delta Airlines Inc.,Arrival,11805,1213,593,19.90725126,48.88705688
IAH,EV,ExpressJet Airlines Inc.,Arrival,469,37,17,27.58823529,45.94594595
IAH,F9,Frontier Airlines Inc.,Arrival,5979,843,388,15.40979381,46.02609727
IAH,NW,Northwest Airlines Inc.,Arrival,12725,1596,798,15.94611529,50
IAH,OH,PSA Airlines Inc.,Arrival,11280,1017,536,21.04477612,52.70403147
IAH,OO,SkyWest Airlines Inc.,Arrival,8643,2507,916,9.43558952,36.53769446
IAH,UA,United Airlines Inc.,Arrival,26367,2324,1042,25.30422265,44.83648881
IAH,US,US Airways Inc.,Arrival,5194,1925,796,6.525125628,41.35064935
IAH,XE,ExpressJet Airlines Inc.,Arrival,564792,80193,31598,17.87429584,39.40244161
IAH,YV,Mesa Airlines Inc.,Arrival,33457,2081,1142,29.29684764,54.87746276
JFK,AA,American Airlines Inc.,Arrival,223814,11944,6340,35.30189274,53.08104488
JFK,B6,JetBlue Airways,Arrival,641995,52899,21719,29.55914177,41.05748691
JFK,CO,Continental Airlines Inc.,Arrival,15473,880,468,33.06196581,53.18181818
JFK,DL,Delta Airlines Inc.,Arrival,145214,16388,7722,18.80523181,47.11984379
JFK,EV,ExpressJet Airlines Inc.,Arrival,10193,195,124,82.2016129,63.58974359
JFK,MQ,Envoy Air,Arrival,99246,7729,3540,28.03559322,45.80152672
JFK,NW,Northwest Airlines Inc.,Arrival,27635,1930,1108,24.94133574,57.40932642
JFK,OH,PSA Airlines Inc.,Arrival,328317,18937,9461,34.70214565,49.96039499
JFK,UA,United Airlines Inc.,Arrival,62279,5184,2389,26.06906656,46.08410494
JFK,US,US Airways Inc.,Arrival,18034,2076,933,19.32904609,44.94219653
JFK,YV,Mesa Airlines Inc.,Arrival,12900,640,334,38.62275449,52.1875
LAS,AA,American Airlines Inc.,Arrival,100801,7378,3987,25.28241786,54.03903497
LAS,AQ,Aloha Airlines Inc.,Arrival,-150,60,15,-10,25
LAS,AS,Alaska Airlines Inc.,Arrival,20159,4022,1690,11.92840237,42.01889607
LAS,B6,JetBlue Airways,Arrival,28316,3743,1578,17.94423321,42.15869623
LAS,CO,Continental Airlines Inc.,Arrival,68697,6140,3315,20.72307692,53.99022801
LAS,DL,Delta Airlines Inc.,Arrival,59954,7037,3623,16.5481645,51.48500782
LAS,F9,Frontier Airlines Inc.,Arrival,18816,2421,1330,14.14736842,54.93597687
LAS,FL,AirTran Airways Co.,Arrival,16589,2844,1245,13.32449799,43.77637131
LAS,HA,Hawaiian Airlines Inc.,Arrival,12326,732,507,24.31163708,69.26229508
LAS,MQ,Envoy Air,Arrival,3312,1126,431,7.684454756,38.27708703
LAS,NW,Northwest Airlines Inc.,Arrival,38285,4543,2380,16.08613445,52.38828968
LAS,OO,SkyWest Airlines Inc.,Arrival,14524,3025,1144,12.6958042,37.81818182
LAS,UA,United Airlines Inc.,Arrival,135115,11226,5318,25.40710794,47.37217174
LAS,US,US Airways Inc.,Arrival,130705,29310,11140,11.73294434,38.00750597
LAS,WN,Southwest Airlines Co.,Arrival,433907,85414,34555,12.55699609,40.45589716
LAS,XE,ExpressJet Airlines Inc.,Arrival,311,321,115,2.704347826,35.82554517
LAS,YV,Mesa Airlines Inc.,Arrival,26004,3529,1390,18.70791367,39.38792859
LAX,AA,American Airlines Inc.,Arrival,411780,28996,15382,26.77025094,53.04869637
LAX,AS,Alaska Airlines Inc.,Arrival,7182,7151,2743,2.61830113,38.35827157
LAX,CO,Continental Airlines Inc.,Arrival,106869,7613,4677,22.84990378,61.43438855
LAX,DL,Delta Airlines Inc.,Arrival,90933,12487,6125,14.84620408,49.05101305
LAX,F9,Frontier Airlines Inc.,Arrival,19180,2218,1235,15.53036437,55.68079351
LAX,FL,AirTran Airways Co.,Arrival,32794,2159,1284,25.54049844,59.47197777
LAX,HA,Hawaiian Airlines Inc.,Arrival,14362,841,585,24.55042735,69.56004756
LAX,MQ,Envoy Air,Arrival,4850,16042,4480,1.082589286,27.92669243
LAX,NW,Northwest Airlines Inc.,Arrival,67326,6403,3655,18.42024624,57.08261752
LAX,OO,SkyWest Airlines Inc.,Arrival,111600,42991,15665,7.124162145,36.43785909
LAX,UA,United Airlines Inc.,Arrival,251115,28598,12775,19.65675147,44.67095601
LAX,US,US Airways Inc.,Arrival,50469,8444,3591,14.05430242,42.52723828
LAX,WN,Southwest Airlines Co.,Arrival,234713,43122,17826,13.16689106,41.3385279
LAX,XE,ExpressJet Airlines Inc.,Arrival,40107,7974,3195,12.55305164,40.06772009
LAX,YV,Mesa Airlines Inc.,Arrival,5648,646,290,19.47586207,44.89164087
LGA,9E,Endeavor Air Inc.,Arrival,22906,2438,967,23.6876939,39.66365874
LGA,AA,American Airlines Inc.,Arrival,400203,20871,11116,36.00242893,53.26050501
LGA,B6,JetBlue Airways,Arrival,74644,2885,1568,47.60459184,54.35008666
LGA,CO,Continental Airlines Inc.,Arrival,89474,4629,2429,36.83573487,52.4735364
LGA,DL,Delta Airlines Inc.,Arrival,156120,20442,8952,17.43967828,43.79219254
LGA,EV,ExpressJet Airlines Inc.,Arrival,16527,814,409,40.40831296,50.24570025
LGA,F9,Frontier Airlines Inc.,Arrival,21519,918,659,32.65402124,71.78649237
LGA,FL,AirTran Airways Co.,Arrival,151791,6891,3972,38.2152568,57.64040052
LGA,MQ,Envoy Air,Arrival,277394,17098,8418,32.95248278,49.23382852
LGA,NW,Northwest Airlines Inc.,Arrival,132482,6702,4164,31.81604227,62.13070725
LGA,OH,PSA Airlines Inc.,Arrival,186393,13503,6874,27.11565319,50.90720581
LGA,UA,United Airlines Inc.,Arrival,139871,7348,3713,37.67061675,50.53075667
LGA,US,US Airways Inc.,Arrival,39975,13324,4938,8.095382746,37.06094266
LGA,XE,ExpressJet Airlines Inc.,Arrival,15823,516,323,48.9876161,62.59689922
LGA,YV,Mesa Airlines Inc.,Arrival,18890,738,397,47.58186398,53.79403794
MCO,9E,Endeavor Air Inc.,Arrival,38,1,1,38,100
MCO,AA,American Airlines Inc.,Arrival,166066,10532,5604,29.63347609,53.209267
MCO,AS,Alaska Airlines Inc.,Arrival,-1222,967,337,-3.62611276,34.85005171
MCO,B6,JetBlue Airways,Arrival,136509,13630,5890,23.17640068,43.21349963
MCO,CO,Continental Airlines Inc.,Arrival,65981,7130,3375,19.54992593,47.33520337
MCO,DL,Delta Airlines Inc.,Arrival,86033,12319,5605,15.34933095,45.49882296
MCO,EV,ExpressJet Airlines Inc.,Arrival,-7479,1667,307,-24.36156352,18.41631674
MCO,F9,Frontier Airlines Inc.,Arrival,3894,701,366,10.63934426,52.21112696
MCO,FL,AirTran Airways Co.,Arrival,154535,20284,8760,17.64098174,43.18674818
MCO,NW,Northwest Airlines Inc.,Arrival,62362,5710,3311,18.83479311,57.98598949
MCO,OH,PSA Airlines Inc.,Arrival,3837,477,223,17.20627803,46.75052411
MCO,UA,United Airlines Inc.,Arrival,80851,7004,3300,24.50030303,47.11593375
MCO,US,US Airways Inc.,Arrival,45525,9549,4030,11.29652605,42.20337208
MCO,WN,Southwest Airlines Co.,Arrival,92384,40699,13705,6.740897483,33.67404605
MCO,XE,ExpressJet Airlines Inc.,Arrival,1830,189,90,20.33333333,47.61904762
MSP,9E,Endeavor Air Inc.,Arrival,58983,21986,7129,8.273670922,32.42517966
MSP,AA,American Airlines Inc.,Arrival,58686,5651,2591,22.64994211,45.85029198
MSP,AS,Alaska Airlines Inc.,Arrival,1137,133,67,16.97014925,50.37593985
MSP,CO,Continental Airlines Inc.,Arrival,13647,1529,725,18.82344828,47.41661216
MSP,DL,Delta Airlines Inc.,Arrival,17710,1605,862,20.54524362,53.70716511
MSP,EV,ExpressJet Airlines Inc.,Arrival,5043,372,186,27.11290323,50
MSP,F9,Frontier Airlines Inc.,Arrival,7623,1387,680,11.21029412,49.02667628
MSP,FL,AirTran Airways Co.,Arrival,17816,2529,1188,14.996633,46.97508897
MSP,NW,Northwest Airlines Inc.,Arrival,393328,78603,31159,12.62325492,39.64098062
MSP,OH,PSA Airlines Inc.,Arrival,36150,1726,1104,32.74456522,63.96292005
MSP,OO,SkyWest Airlines Inc.,Arrival,26463,3028,1485,17.82020202,49.04227213
MSP,UA,United Airlines Inc.,Arrival,70720,5336,2346,30.14492754,43.96551724
MSP,US,US Airways Inc.,Arrival,4421,3178,1175,3.762553191,36.97293896
MSP,XE,ExpressJet Airlines Inc.,Arrival,34616,3251,1581,21.89500316,48.6311904
MSP,YV,Mesa Airlines Inc.,Arrival,-105,6,0,0,0
ORD,9E,Endeavor Air Inc.,Arrival,539,19,10,53.9,52.63157895
ORD,AA,American Airlines Inc.,Arrival,1112573,70541,33169,33.5425548,47.02088147
ORD,AS,Alaska Airlines Inc.,Arrival,17635,1459,629,28.03656598,43.11172036
ORD,B6,JetBlue Airways,Arrival,48584,2355,1104,44.00724638,46.87898089
ORD,CO,Continental Airlines Inc.,Arrival,104423,4992,2583,40.42702284,51.74278846
ORD,DL,Delta Airlines Inc.,Arrival,51906,3542,1856,27.96659483,52.39977414
ORD,EV,ExpressJet Airlines Inc.,Arrival,256,25,17,15.05882353,68
ORD,MQ,Envoy Air,Arrival,1197856,87462,36600,32.72830601,41.84674487
ORD,NW,Northwest Airlines Inc.,Arrival,90412,6773,3393,26.64662541,50.09596929
ORD,OH,PSA Airlines Inc.,Arrival,51212,2988,1654,30.96251511,55.35475234
ORD,OO,SkyWest Airlines Inc.,Arrival,705108,46286,18287,38.55788265,39.50870674
ORD,UA,United Airlines Inc.,Arrival,989779,88770,36772,26.91664854,41.42390447
ORD,US,US Airways Inc.,Arrival,95543,7609,3354,28.48628503,44.07937968
ORD,XE,ExpressJet Airlines Inc.,Arrival,39670,1736,947,41.89017951,54.55069124
ORD,YV,Mesa Airlines Inc.,Arrival,569468,25895,11496,49.5361865,44.39467079
PHX,AA,American Airlines Inc.,Arrival,72285,5858,3110,23.24276527,53.08979174
PHX,AS,Alaska Airlines Inc.,Arrival,7099,3251,1262,5.625198098,38.81882498
PHX,B6,JetBlue Airways,Arrival,4414,655,271,16.28782288,41.3740458
PHX,CO,Continental Airlines Inc.,Arrival,42859,4124,2150,19.9344186,52.13385063
PHX,DL,Delta Airlines Inc.,Arrival,36055,4128,2103,17.1445554,50.94476744
PHX,F9,Frontier Airlines Inc.,Arrival,14260,2087,1092,13.05860806,52.32390992
PHX,FL,AirTran Airways Co.,Arrival,13334,1315,703,18.96728307,53.46007605
PHX,HA,Hawaiian Airlines Inc.,Arrival,14253,366,240,59.3875,65.57377049
PHX,NW,Northwest Airlines Inc.,Arrival,38307,3585,2044,18.74119374,57.0153417
PHX,OO,SkyWest Airlines Inc.,Arrival,13772,2892,1211,11.37241949,41.87413555
PHX,UA,United Airlines Inc.,Arrival,61999,5369,2636,23.52010622,49.09666605
PHX,US,US Airways Inc.,Arrival,113917,63480,23502,4.847119394,37.02268431
PHX,WN,Southwest Airlines Co.,Arrival,300208,68823,27237,11.02206557,39.57543263
PHX,XE,ExpressJet Airlines Inc.,Arrival,8064,1429,642,12.56074766,44.92652204
PHX,YV,Mesa Airlines Inc.,Arrival,71907,32054,10803,6.656206609,33.70250203
SEA,AA,American Airlines Inc.,Arrival,88000,5441,3325,26.46616541,61.11009006
SEA,AS,Alaska Airlines Inc.,Arrival,232846,48126,20437,11.39335519,42.4656111
SEA,B6,JetBlue Airways,Arrival,8593,1519,613,14.01794454,40.35549704
SEA,CO,Continental Airlines Inc.,Arrival,64571,4644,2840,22.73626761,61.15417743
SEA,DL,Delta Airlines Inc.,Arrival,32847,5378,2582,12.72153369,48.01041279
SEA,F9,Frontier Airlines Inc.,Arrival,13707,1500,924,14.83441558,61.6
SEA,FL,AirTran Airways Co.,Arrival,9596,899,549,17.47905282,61.06785317
SEA,HA,Hawaiian Airlines Inc.,Arrival,9774,922,487,20.0698152,52.81995662
SEA,NW,Northwest Airlines Inc.,Arrival,50511,5007,2850,17.72315789,56.92031156
SEA,OO,SkyWest Airlines Inc.,Arrival,9871,5084,1880,5.250531915,36.97875688
SEA,UA,United Airlines Inc.,Arrival,116007,8944,4666,24.8621946,52.16905188
SEA,US,US Airways Inc.,Arrival,26055,3983,1784,14.60482063,44.79035903
SEA,WN,Southwest Airlines Co.,Arrival,59112,16775,6527,9.056534396,38.90909091
SEA,XE,ExpressJet Airlines Inc.,Arrival,9243,853,505,18.3029703,59.2028136
SFO,AA,American Airlines Inc.,Arrival,205040,12004,6524,31.42857143,54.34855048
SFO,AS,Alaska Airlines Inc.,Arrival,52419,5068,2173,24.12287161,42.87687451
SFO,B6,JetBlue Airways,Arrival,33475,1922,990,33.81313131,51.50884495
SFO,CO,Continental Airlines Inc.,Arrival,74147,4802,2818,26.31192335,58.68388172
SFO,DL,Delta Airlines Inc.,Arrival,53186,4567,2595,20.4955684,56.82067002
SFO,F9,Frontier Airlines Inc.,Arrival,23343,1683,1048,22.27385496,62.26975639
SFO,FL,AirTran Airways Co.,Arrival,17854,951,598,29.85618729,62.88117771
SFO,HA,Hawaiian Airlines Inc.,Arrival,6962,366,286,24.34265734,78.1420765
SFO,MQ,Envoy Air,Arrival,2085,1741,564,3.696808511,32.39517519
SFO,NW,Northwest Airlines Inc.,Arrival,58461,3827,2315,25.25313175,60.49124641
SFO,OO,SkyWest Airlines Inc.,Arrival,615422,39028,17242,35.69319105,44.17853849
SFO,UA,United Airlines Inc.,Arrival,521984,43739,20495,25.46884606,46.8574956
SFO,US,US Airways Inc.,Arrival,75984,7112,3397,22.36797174,47.76434196
SFO,WN,Southwest Airlines Co.,Arrival,121949,12569,5209,23.41121136,41.44323335
SFO,XE,ExpressJet Airlines Inc.,Arrival,12759,1200,470,27.14680851,39.16666667
SLC,9E,Endeavor Air Inc.,Arrival,408,6,4,102,66.66666667
SLC,AA,American Airlines Inc.,Arrival,39619,2501,1438,27.55146036,57.4970012
SLC,B6,JetBlue Airways,Arrival,15171,2194,892,17.00784753,40.65633546
SLC,CO,Continental Airlines Inc.,Arrival,10872,897,455,23.89450549,50.72463768
SLC,DL,Delta Airlines Inc.,Arrival,133153,27773,11643,11.43631366,41.92201059
SLC,F9,Frontier Airlines Inc.,Arrival,16846,2297,1158,14.54749568,50.41358293
SLC,NW,Northwest Airlines Inc.,Arrival,7377,1089,552,13.36413043,50.68870523
SLC,OO,SkyWest Airlines Inc.,Arrival,32434,76485,24551,1.321086717,32.0991044
SLC,UA,United Airlines Inc.,Arrival,32466,2089,1066,30.45590994,51.02920057
SLC,US,US Airways Inc.,Arrival,7142,1815,719,9.933240612,39.61432507
SLC,WN,Southwest Airlines Co.,Arrival,81720,17578,6756,12.09591474,38.43440664
SLC,XE,ExpressJet Airlines Inc.,Arrival,17275,3754,1568,11.01721939,41.76877997
SLC,YV,Mesa Airlines Inc.,Arrival,4774,599,287,16.63414634,47.91318865
